,place_name,place_type,place_address,bicimad_station,station_location,distance
17,Museo Histórico Minero Don Felipe de Borbón y Grecia,museos,CALLE RIOS ROSAS 21,Santa Engracia 127,Calle Santa Engracia nº 127,150.95488324080821
18,Museo ICO,museos,CALLE ZORRILLA 3,Sevilla,Calle Alcalá nº 27,174.2749273038066
19,Museo Los Caños del Peral. Estación de Metro Ópera,museos,PLAZA ISABEL II 1,Palacio de Oriente,Calle Carlos III nº 1,167.07009934094071
20,Museo Lázaro Galdiano,museos,CALLE SERRANO 122,Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43,365.83916027455996
21,Museo Nacional Centro de Arte Reina Sofía (MNCARS),museos,CALLE SANTA ISABEL 52,Museo Reina Sofía,Calle Santa Isabel nº 57,78.83775077650337
22,Museo Nacional Thyssen-Bornemisza,museos,PASEO PRADO 8,Marqués de Cubas,Calle del Marqués de Cubas nº 25,114.13588966471737
23,Museo Nacional de Antropología,museos,CALLE ALFONSO XII 68,Atocha B,Paseo de la Infanta Isabel nº 3,147.39995946614204
24,Museo Nacional de Artes Decorativas,museos,CALLE MONTALBAN 12,Antonio Maura,Calle Antonio Maura nº 15,139.5683125581925
25,Museo Nacional de Ciencias Naturales,museos,CALLE JOSE GUTIERREZ ABASCAL 2,José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2,103.3055895226658
26,Museo Naval,museos,PASEO PRADO 5,Cibeles,Plaza Cibeles,142.39199849908323
27,Museo Postal y Telegráfico,museos,CALLE TAPIA DE CASARIEGO 6,Facultad Derecho,Avenida Complutense nº 23,4799.821061942716
28,Museo Sorolla,museos,PASEO GENERAL MARTINEZ CAMPOS 37,General Martínez Campos ,Calle Fernández de la Hoz nº 29,284.5299494759469
29,Museo Taurino de la Comunidad de Madrid,museos,CALLE ALCALA 237,Alcalá-Ventas,Calle Alejandro González nº 1,193.10499419834989
30,Museo Tiflológico,museos,CALLE LA CORUÑA 18,San Germán 57,Calle San Germán nº 57,247.4890047955663
31,Museo de Aeronáutica y Astronáutica,museos,"AUTOVIA A-5 10.700 Km. 10,5",Caramuel,Calle Caramuel nº 51,9750.799381459567
32,Museo de América,museos,AVENIDA REYES CATOLICOS 6,Moncloa,Paseo de Moret nº 2,402.03199799045126
33,Museo de Arte Contemporáneo de Madrid,museos,CALLE CONDE DUQUE 9,Conde Duque,Calle Conde Duque nº 22,19.8009091351428
34,Museo de Astronomía y Geodesia,museos,PLAZA CIENCIAS 3,Facultad Biología,Calle José Antonio Novais frente al nº 12,170.64414020176926
35,Museo de Bomberos de Madrid,museos,CALLE BOADA 4,Sierra Toledana,Camino de Valderribas nº 94,912.2472228896835
36,Museo de Calcografía Nacional,museos,CALLE ALCALA 13,Puerta del Sol B,Puerta del Sol nº 1,110.77814562422203
37,Museo de Cera,museos,PASEO RECOLETOS 41,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,129.594080250662
38,Museo de Escultura al Aire Libre de la Castellana,museos,PASEO CASTELLANA 40,Castellana 42,Paseo de la Castellana nº 42,39.843308428204054
39,Museo de Historia de Madrid,museos,CALLE FUENCARRAL 78,Barceló,Calle Barceló nº 7,111.96287903990341
40,Museo de Historia de la Comunidad Judía de Madrid,museos,CALLE BALMES 3,Santa Engracia 87,Calle Santa Engracia nº 87,112.75841672470256
41,Museo de Mineralogía,museos,CALLE FRANCISCO TOMAS Y VALIENTE 7 Facultad de Ciencias - Departamento Geología y Geoquímica,Pedro Rico,Calle Pedro Rico nº 4,7196.2638022252
42,Museo de San Isidro. Los Orígenes de Madrid,museos,PLAZA SAN ANDRES 1,Plaza de los Carros,Carrera de San Francisco nº 1,105.19868517917773
43,Museo de Sanidad e Higiene Pública,museos,AVENIDA MONFORTE DE LEMOS 5,Torre Cepsa,Calle Sinesio Delgado nº 2,264.2125652293988
44,Museo de la Biblioteca Nacional de España,museos,PASEO RECOLETOS 20 y 22,Biblioteca Nacional,Paseo de Recoletos nº 20,25.712960966583754
45,Museo de la Catedral de la Almudena,museos,CALLE BAILEN 10 Entrada por un costado de la entrada principal de la catedral,Segovia 26,Calle Segovia nº 26,190.246873217771
46,Museo de la Farmacia Hispana,museos,PLAZA RAMON Y CAJAL Facultad de Farmacia,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),122.67955923461227
47,Museo de la Guardia Civil,museos,CALLE GUZMAN EL BUENO 110,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,277.4224808245633
48,Museo de la Real Academia de Bellas Artes de San Fernando,museos,CALLE ALCALA 13,Puerta del Sol B,Puerta del Sol nº 1,112.3466107830937
49,Museo del Ferrocarril de Madrid,museos,PASEO DELICIAS 61,Delicias,Calle Bustamante nº 1,72.48611547912292
50,Museo del Prado,museos,CALLE RUIZ DE ALARCON 23,Espalter,Calle Espalter nº 1,84.32455179902418
51,Museo del Reloj Grassy,museos,CALLE GRAN VIA 1,Sevilla,Calle Alcalá nº 27,118.33547856506931
52,Museo del Romanticismo,museos,CALLE SAN MATEO 13,Hortaleza,Calle Hortaleza nº 75,134.97108727436006
53,Museo del Seguro. Fundación Mapfre,museos,CALLE BARBARA DE BRAGANZA 14,Biblioteca Nacional,Paseo de Recoletos nº 20,170.652532455434
54,Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),museos,AVENIDA JUAN DE HERRERA 2,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,250.2164528373668
55,Palacio Real de El Pardo,museos,CALLE MANUEL ALONSO 8,Facultad Derecho,Avenida Complutense nº 23,9331.608481464673
56,Palacio Real de Madrid,museos,CALLE BAILEN,San Quintín,Calle Pavía nº 6,217.40063782261603
57,Panteón de Hombres Ilustres,museos,CALLE JULIAN GAYARRE 3,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,358.32324688617194
